,Orden original,Comisión,Congresistas,Cargo,Bancada,Sesión,Fecha,Asistencia,Licencia,Inas. Just.,Inas. Inj.,
19,1663,Economia,BAZÁN NARRO SIGRID TESORO,Titular,Juntos por el Perú,,,1,-,-,-,17 Registro de Asistencia de la Décimo Setima Comisión de Eonomía (5).xlsx
19,2485,Economía,BAZÁN NARRO SIGRID TESORO,Titular,Juntos por el Perú,,,1,,-,-,07 7ma . Sesión Extraordinariadesentralizada (3).xlsx
19,2550,Economia,BAZÁN NARRO SIGRID TESORO,Titular,Juntos por el Perú,,,1,-,-,-,05 Registro de Asistencia Quinta Sesión Ordinaria Economia - (1).xlsx
19,2684,Economia,BAZÁN NARRO SIGRID TESORO,Titular,Juntos por el Perú,,,1,-,-,-,06 Registro de Asistencia Sexta Sesión Ordinaria Economia (4).xlsx
19,2967,Economia,BAZÁN NARRO SIGRID TESORO,Titular,Juntos por el Perú,,,1,-,-,-,06 Asistencia 6ta. Sesión Extraordinaria Comisión de Economia (3) (3) (8).xlsx
19,3503,Economia,BAZÁN NARRO SIGRID TESORO,Titular,Juntos por el Perú,,,1,-,-,-,11 11ava Sesión Extraordinaaria Comisión de Eonomía (2) (1).xlsx
19,3814,Economía,BAZÁN NARRO SIGRID TESORO,Titular,Juntos por el Perú,,,-,1,-,-,21 Registro de Asistencia de la Vigésimo Primera Sesión Ordinaria Comisión de Eonomía.xlsx
36,4126,INC. SOCIAL,BAZÁN NARRO SIGRID TESORO,Accesitaria,Juntos por el Perú,PRIMERA S.E.,31.08.2021,1,,,,Asistencia Inclusión Social 1a. Ext 31.08.2021 (1).xlsx
19,4157,Economia,BAZÁN NARRO SIGRID TESORO,Titular,Juntos por el Perú,,,1,-,-,-,08 Registro de Asistencia Octava Sesión Ordinaria Economia (5) - copia (1).xlsx
35,4329,INC. SOCIAL,BAZÁN NARRO SIGRID TESORO,Accesitaria,Juntos por el Perú,,,,,,,Asistencia Inclusión Social 06.09 -2021.xlsx
19,4344,6,BAZÁN NARRO SIGRID TESORO,Titular,Juntos por el Perú,,,1,,-,-,08 8 ava. SESIÓN EXTRAORDINARIA 12.05.22 (1) (1).xlsx
19,4657,Economia,BAZÁN NARRO SIGRID TESORO,Titular,Juntos por el Perú,,,1,-,-,-,12 Registro de Asistencia Décimo Doceava Sesión Ordinaria.xlsx
19,5690,6,BAZÁN NARRO SIGRID TESORO,Titular,Juntos por el Perú,,,1,,-,-,09 9 na. Sesión Extraordinaria Comisión de Eonomía.xlsx
19,6693,Economia,BAZÁN NARRO SIGRID TESORO,Titular,Juntos por el Perú,,,1,-,-,-,05 Asistencia quinta Sesión Extraordinaria Comisión de Economia (3) (4).xlsx
19,7403,Economia,BAZÁN NARRO SIGRID TESORO,Titular,Juntos por el Perú,,,1,-,-,-,03 Registro de Asistencia tercera Sesión Ordinaria Economia (2).xlsx
19,7483,6,BAZÁN NARRO SIGRID TESORO,Titular,Juntos por el Perú,,,1,,-,-,18 Registro de Asistencia la Décimo Octava Sesión Ordinaria Comisión de Eonomía (5) (1).xlsx
19,7534,Economia,BAZÁN NARRO SIGRID TESORO,Titular,Juntos por el Perú,,,1,-,-,-,24 Registro de Asistencia de la Vigésimo Cuarta Sesión Ordinaria Comisión de Eonomía (4).xlsx
19,8004,Economia,BAZÁN NARRO SIGRID TESORO,Titular,Juntos por el Perú,,,-,-,1,-,01 Asistencia1era. Sesión Extraordinaria Ordinaria Economia (8) (1).xlsx
19,8673,Economia,BAZÁN NARRO SIGRID TESORO,Titular,Juntos por el Perú,,,1,-,-,-,04 Asistencia Cuarta Sesión Extraordinaria Comisión de Economia (15).xlsx
19,9885,6,BAZÁN NARRO SIGRID TESORO,Titular,Juntos por el Perú,,,1,,-,-,19 Registro de Asistencia de la Décimo Novena Sesión Ordinaria Comisión de Eonomía (11).xlsx
19,10185,Economia,BAZÁN NARRO SIGRID TESORO,Titular,Juntos por el Perú,,,1,-,-,-,23 Registro de Asistencia de la Vigésimo Tercera Sesión Ordinaria Comisión de Eonomía (1).xlsx
19,10224,Economia,BAZÁN NARRO SIGRID TESORO,Titular,Juntos por el Perú,,,1,-,-,-,10 Registro de Asistencia Décima Sesión Ordinaria Economia (11).xlsx
19,11008,Economia,BAZÁN NARRO SIGRID TESORO,Titular,Juntos por el Perú,,,1,-,-,-,13 REGISTRO DE ASISTENCIA DE LA DÉCIMO TERCERA SESIÓN ORDINARIA.xlsx
19,11205,Economia,BAZÁN NARRO SIGRID TESORO,Titular,Juntos por el Perú,,,1,-,-,-,04 Registro de Asistencia Cuarta Sesión Ordinaria Economia (1).xlsx
19,11626,Economía,BAZÁN NARRO SIGRID TESORO,Titular,Juntos por el Perú,,,1,-,-,-,22 Registro de Asistencia de la Vigésimo Segunda Sesión Ordinaria Comisión de Eonomía.xlsx
19,11879,Economia,BAZÁN NARRO SIGRID TESORO,Titular,Juntos por el Perú,,,1,-,-,-,02 Asistencia Segunda Sesión Extraordinaria Economia (16).xlsx
34,13326,INC. SOCIAL,BAZÁN NARRO SIGRID TESORO,Accesitaria,Juntos por el Perú,,,,,,,Asistencia Inclusión Social 1a. Ord 23.08.2021.xlsx
20,13551,Economia,BAZÁN NARRO SIGRID TESORO,Titular,Juntos por el Perú,,,1,-,-,-,01 Registro de Asisencia de la Primera Sesión Ordinaria de Economia 25.08.21 (3).xlsx
19,13802,Economia,BAZÁN NARRO SIGRID TESORO,Titular,Juntos por el Perú,,,1,-,-,-,09 Registro de Asistencia Novena Ordinaria Economia (2).xlsx
35,15475,EDUCACIÓN,BAZÁN NARRO SIGRID TESORO,Accesitaria,Juntos Por el Perú,Elección e Instalación,17,,,,,Sesión_Elección_Instalación.xlsx
19,15488,Economia,BAZÁN NARRO SIGRID TESORO,Titular,Juntos por el Perú,,,1,-,-,-,26 Registro de Asistencia de la Vigésimo Sexta Sesión Ordinaria Comisión de Eonomía (1) (1).xlsx
19,15699,Economia,BAZÁN NARRO SIGRID TESORO,Titular,Juntos por el Perú,,,1,-,-,-,07 Registro de Asistencia Sétima Sesión Ordinaria Economia (18).xlsx
32,15761,Economia,Bazán Narro Sigrid Tesoro,Titular,Juntos por el Perú,,,1,-,-,-,02 Registro de Asistencia Segunda Sesión Ordinaria Economia 01.09.2021 (1).xlsx
19,15780,Economia,BAZÁN NARRO SIGRID TESORO,Titular,Juntos por el Perú,,,1,-,-,-,14 REGISTRO DE ASISTENCIA DE LA DÉCIMO CUARTA SESIÓN ORDINARIA.xlsx
19,15813,Economia,BAZÁN NARRO SIGRID TESORO,Titular,Juntos por el Perú,,,1,-,-,-,11 Registro de Asistencia de la Décimo Primera Sesión Ordinaria.xlsx
19,15916,Economia,BAZÁN NARRO SIGRID TESORO,Titular,Juntos por el Perú,,,1,-,-,-,12 12 ava. Sesión Extraordinaaria Comisión de Eonomía (8).xlsx
19,16643,Economia,BAZÁN NARRO SIGRID TESORO,Titular,Juntos por el Perú,,,1,-,-,-,03 Asistencia Tercera Sesión Extraordinaria Economia (5) - copia (21).xlsx
19,16832,Economia,BAZÁN NARRO SIGRID TESORO,Titular,Juntos por el Perú,,,1,-,-,-,16 Registro de Asistencia de la Décimo Sexta Ordinaria Comisión de Eonomía (3).xlsx
35,15861,INC. SOCIAL,BAZÁN NARRO ZIGRID TESORO,Accesitaria,Juntos por el Perú,,,,,,,Asistencia Inclusión Social 28.09 -2021.xlsx
35,16537,INC. SOCIAL,BAZÁN NARRO ZIGRID TESORO,Accesitaria,Juntos por el Perú,,,,,,,Asistencia Inclusión Social 14.09 -2021.xlsx
40,2744,EDUCACIÓN,"BAZAN NARRO, SIGRID TESORO",ACCESITARIO,JUNTOS POR EL PERÚ,2021-08-24 00:00:00,,,,,,ASISTENCIA SESIONES ORDINARIAS FINAL.xlsx
17,21,CESIP -OCDE,"BAZÁN NARRO, Sigrid Tesoro",Titular,Juntos por el Perú,6ta. SO,15.02.2022,1,,,,6SO ASISTENCIA 15.02.2022.xlsx
17,427,CESIP -OCDE,"BAZÁN NARRO, Sigrid Tesoro",Titular,Juntos por el Perú,12va. SO,10.05.2022,,1,,,12SO ASISTENCIA 10.05.2022.xlsx
17,526,CESIP -OCDE,"BAZÁN NARRO, Sigrid Tesoro",Titular,Juntos por el Perú,5ta. SO,01.02.2022,1,,,,5SO ASISTENCIA 01.02.2022.xlsx
28,578,VIVIENDA,"Bazán Narro, Sigrid Tesoro",Titular,Juntos por el Perú,,,1,,,,Sesión 19 (6-06).xlsx
28,967,VIVIENDA,"Bazán Narro, Sigrid Tesoro",Titular,Juntos por el Perú,,,1,,,,Sesión 20 (27-06).xlsx
39,1018,TRABAJO,"BAZÁN NARRO, SIGRID TESORO",Accesitario,JUNTOS POR EL PERÚ,,,,,,,V Sesión Extraordin 17 Diciembre 2021.xlsx
39,1225,TRABAJO,"BAZÁN NARRO, SIGRID TESORO",Accesitario,JUNTOS POR EL PERÚ,,,,,,,XIII Sesión Extraord 3 junio 2022.xlsx
17,1738,CESIP -OCDE,"BAZÁN NARRO, Sigrid Tesoro",Titular,Juntos por el Perú,4ta. SO,18.01.2022,1,,,,4SO ASISTENCIA 18.01.2022.xlsx
39,2255,TRABAJO,"BAZÁN NARRO, SIGRID TESORO",Accesitario,JUNTOS POR EL PERÚ,2da Extraord,2021-10-29 00:00:00,X,,,,II Sesión ExtraOrd 29-10-21.xlsx
39,2285,TRABAJO,"BAZÁN NARRO, SIGRID TESORO",Accesitario,JUNTOS POR EL PERÚ,,,,,,,XV Ordinaria 29 marzo 2022.xlsx
28,2307,VIVIENDA,"Bazán Narro, Sigrid Tesoro",Titular,Juntos por el Perú,,,1,,,,Sesión 21 (4-07).xlsx
28,2436,VIVIENDA,"Bazán Narro, Sigrid Tesoro",Titular,Juntos por el Perú,,,1,,,,Sesión 14 (7-3).xlsx
39,2614,TRABAJO,"BAZÁN NARRO, SIGRID TESORO",Accesitario,JUNTOS POR EL PERÚ,,,,,,,III Sesión Descentralizada 10 junio 2022.xlsx
39,3236,TRABAJO,"BAZÁN NARRO, SIGRID TESORO",Accesitario,JUNTOS POR EL PERÚ,,,,,,,XIV Ordinar 1 marzo 2022.xlsx
38,3344,TRABAJO,"BAZÁN NARRO, SIGRID TESORO",Accesitario,JUNTOS POR EL PERÚ,2da Ordin,2021-08-31 00:00:00,X,,,,2da Sesión Ord 31-08-21.xlsx
39,3449,TRABAJO,"BAZÁN NARRO, SIGRID TESORO",Accesitario,JUNTOS POR EL PERÚ,,,,,,,IV Sesión Descentralizada 4 julio 2022.xlsx
28,3546,VIVIENDA,"Bazán Narro, Sigrid Tesoro",Titular,Juntos por el Perú,,,1,,,,Sesión 04 (27-9).xlsx
17,3577,CESIP -OCDE,"BAZÁN NARRO, Sigrid Tesoro",Titular,Juntos por el Perú,16va. SO,12.07.2022,1,,,,16SO ASISTENCIA 12.07.2022.xlsx
28,3725,VIVIENDA,"Bazán Narro, Sigrid Tesoro",Titular,Juntos por el Perú,,,1,,,,Sesión 03 (13-9).xlsx
17,3777,CESIP -OCDE,"BAZÁN NARRO, Sigrid Tesoro",Titular,Juntos por el Perú,9na. SO,29.03.2022,1,,,,9SO ASISTENCIA.xlsx
28,3863,VIVIENDA,"Bazán Narro, Sigrid Tesoro",Titular,Juntos por el Perú,,,,1,,,Sesión 18 (23-05).xlsx
28,3905,VIVIENDA,"Bazán Narro, Sigrid Tesoro",Titular,Juntos por el Perú,,,1,,,,Sesión 16 (25-4).xlsx
39,4274,TRABAJO,"BAZÁN NARRO, SIGRID TESORO",Accesitario,JUNTOS POR EL PERÚ,,,,,,,XIII Ordinar 15 febrero 2022.xlsx
39,4608,TRABAJO,"BAZÁN NARRO, SIGRID TESORO",Accesitario,JUNTOS POR EL PERÚ,,,,,,,II Sesión Descentralizada 5 abril 2022.xlsx
28,4723,VIVIENDA,"Bazán Narro, Sigrid Tesoro",Titular,Juntos por el Perú,,,1,,,,Sesión 15 (11-4).xlsx
39,5138,TRABAJO,"BAZÁN NARRO, SIGRID TESORO",Accesitario,JUNTOS POR EL PERÚ,,,,,,,IX Ordinaria 4 enero 2022.xlsx
17,5149,CESIP -OCDE,"BAZÁN NARRO, Sigrid Tesoro",Titular,Juntos por el Perú,11va. SO,26.04.2022,1,,,,11SO ASISTENCIA.xlsx
39,5464,TRABAJO,"BAZÁN NARRO, SIGRID TESORO",Accesitario,JUNTOS POR EL PERÚ,,,,,,,X Extraordin 18 marzo 2022.xlsx
28,5486,VIVIENDA,"Bazán Narro, Sigrid Tesoro",Titular,Juntos por el Perú,,,1,,,,Sesión 05 (04-10).xlsx
28,5643,VIVIENDA,"Bazán Narro, Sigrid Tesoro",Titular,Juntos por el Perú,,,1,,,,Sesión 10 (20-12).xlsx
39,5765,TRABAJO,"BAZÁN NARRO, SIGRID TESORO",Accesitario,JUNTOS POR EL PERÚ,,,,,,,VIII Extraordina 3 febrero 2022.xlsx
17,5800,CESIP -OCDE,"BAZÁN NARRO, Sigrid Tesoro",Titular,Juntos por el Perú,7ma. SO,01.03.2022,1,,,,7SO ASISTENCIA 01.03.2022.xlsx
39,5865,TRABAJO,"BAZÁN NARRO, SIGRID TESORO",Accesitario,JUNTOS POR EL PERÚ,,,,,,,XVIII Sesión Ordinaria 28 junio 2022.xlsx
28,5948,VIVIENDA,"Bazán Narro, Sigrid Tesoro",Titular,Juntos por el Perú,,,1,1,,,Sesión 17 (9-05).xlsx
28,6090,VIVIENDA,"Bazán Narro, Sigrid Tesoro",Titular,Juntos por el Perú,,,1,,,,Sesión 07 (15-11).xlsx
39,6279,TRABAJO,"BAZÁN NARRO, SIGRID TESORO",Accesitario,JUNTOS POR EL PERÚ,4ta Ordin,2021-09-14 00:00:00,X,,,,4ta Sesión Ord 14-09-21.xlsx
39,6517,TRABAJO,"BAZÁN NARRO, SIGRID TESORO",Accesitario,JUNTOS POR EL PERÚ,,,,,,,I Sesión Descentralizada 16-11-21.xlsx
28,6563,VIVIENDA,"Bazán Narro, Sigrid Tesoro",Titular,Juntos por el Perú,,,1,,,,Sesión 13 (7-2).xlsx
41,7698,PRESUPUESTO,"Bazán Narro, Sigrid Tesoro",Accesitario,Juntos po el Perú,,,,,,,ASISTENCIA-COMISIONPPTO-2021-2022.xlsx
17,7827,CESIP -OCDE,"BAZÁN NARRO, Sigrid Tesoro",Titular,Juntos por el Perú,15va. SO,28.06.2022,1,,,,15SO ASISTENCIA 28.062022.xlsx
39,7959,TRABAJO,"BAZÁN NARRO, SIGRID TESORO",Accesitario,JUNTOS POR EL PERÚ,VIII Ordin,2021-12-14 00:00:00,X,,,,VIII Ordinaria 14 diciembre 2021.xlsx
17,8074,CESIP -OCDE,"BAZÁN NARRO, Sigrid Tesoro",Titular,Juntos por el Perú,,,1,,,,1ra SO ASISTENCIA.xlsx
39,8125,TRABAJO,"BAZÁN NARRO, SIGRID TESORO",Accesitario,JUNTOS POR EL PERÚ,,,,,,,III Sesión Extraordinaria 26 noviembre.xlsx
39,8384,TRABAJO,"BAZÁN NARRO, SIGRID TESORO",Accesitario,JUNTOS POR EL PERÚ,,,,,,,XII Sesión Extraord 13 MAYO 2022.xlsx
39,8538,TRABAJO,"BAZÁN NARRO, SIGRID TESORO",Accesitario,JUNTOS POR EL PERÚ,,,,,,,IV Sesión Extraordinaria 10 diciembre.xlsx
39,8634,TRABAJO,"BAZÁN NARRO, SIGRID TESORO",Accesitario,JUNTOS POR EL PERÚ,,,,,,,X Ordinar 11 enero 2022.xlsx
39,8996,TRABAJO,"BAZÁN NARRO, SIGRID TESORO",Accesitario,JUNTOS POR EL PERÚ,,,,,,,IX Sesión Extraordin 11 marzo 2022.xlsx
39,9202,TRABAJO,"BAZÁN NARRO, SIGRID TESORO",Accesitario,JUNTOS POR EL PERÚ,,,,,,,XII Ordinar 8 febrero 2022.xlsx
28,9277,VIVIENDA,"Bazán Narro, Sigrid Tesoro",Titular,Juntos por el Perú,,,1,,,,Sesión 22 (11-07).xlsx
17,9581,CESIP -OCDE,"BAZÁN NARRO, Sigrid Tesoro",Titular,Juntos por el Perú,10ma. SO,12.04.2022,,1,,,10SO ASISTENCIA 12.04.2022.xlsx
28,10266,VIVIENDA,"Bazán Narro, Sigrid Tesoro",Titular,Juntos por el Perú,,,1,,,,Sesión 02 (6-9).xlsx
38,10318,TRABAJO,"BAZÁN NARRO, SIGRID TESORO",Accesitario,JUNTOS POR EL PERÚ,1ra ORD,,X,,,,1ra Sesión Ord 24-08-21.xlsx
39,10489,TRABAJO,"BAZÁN NARRO, SIGRID TESORO",Accesitario,JUNTOS POR EL PERÚ,1ra Extraord,2021-10-22 00:00:00,X,,,,I Sesión ExtraOrd 22-10-21.xlsx
38,10624,TRABAJO,"BAZÁN NARRO, SIGRID TESORO",Accesitario,JUNTOS POR EL PERÚ,3ra Ordin,2021-09-07 00:00:00,X,,,,3ra Sesión Ord 07-09-21.xlsx
28,10652,VIVIENDA,"Bazán Narro, Sigrid Tesoro",Titular,Juntos por el Perú,,,1,,,,Sesión 01 (23-8).xlsx
38,10828,TRABAJO,"BAZÁN NARRO, SIGRID TESORO",Accesitario,JUNTOS POR EL PERÚ,,,X,,,,Sesión de instalación.xlsx
39,10946,TRABAJO,"BAZÁN NARRO, SIGRID TESORO",Accesitario,JUNTOS POR EL PERÚ,,,,,,,XIV Extraordin 17 junio 2022.xlsx
28,11345,VIVIENDA,"Bazán Narro, Sigrid Tesoro",Titular,Juntos por el Perú,,,1,,,,Sesión 09 (13-12).xlsx
39,11492,TRABAJO,"BAZÁN NARRO, SIGRID TESORO",Accesitario,JUNTOS POR EL PERÚ,,,X,,,,XVI Sesión Ordinaria 26 abril 2022.xlsx
28,11846,VIVIENDA,"Bazán Narro, Sigrid Tesoro",Titular,Juntos por el Perú,,,1,,,,Sesión 11 (10-1).xlsx
39,12043,TRABAJO,"BAZÁN NARRO, SIGRID TESORO",Accesitario,JUNTOS POR EL PERÚ,,,,,,,XI Ordinar 18 enero 2022.xlsx
28,12271,VIVIENDA,"Bazán Narro, Sigrid Tesoro",Titular,Juntos por el Perú,,,1,,,,Sesión Extraordinaria 1ra. (15-02-22).xlsx
28,12412,VIVIENDA,"Bazán Narro, Sigrid Tesoro",Titular,Juntos por el Perú,,,1,,,,Sesión 12 (17-1).xlsx
39,12517,TRABAJO,"BAZÁN NARRO, SIGRID TESORO",Accesitario,JUNTOS POR EL PERÚ,,,,,,,XVII Sesión Ordinaria 24 mayo 2022.xlsx
17,12528,CESIP -OCDE,"BAZÁN NARRO, Sigrid Tesoro",Titular,Juntos por el Perú,8va. SO,15.03.2022,1,,,,8SO ASISTENCIA 15.03.2022.xlsx
17,13540,CESIP -OCDE,"BAZÁN NARRO, Sigrid Tesoro",Titular,Juntos por el Perú,13va. SO,24.05.2022,,1,,,13SO ASISTENCIA 24.05.2022.xlsx
39,13851,TRABAJO,"BAZÁN NARRO, SIGRID TESORO",Accesitario,JUNTOS POR EL PERÚ,,,,,,,VI Extraordin 7 enero 2022.xlsx
28,13987,VIVIENDA,"Bazán Narro, Sigrid Tesoro",Titular,Juntos por el Perú,,,1,,,,Sesión 06 (18-10).xlsx
39,14147,TRABAJO,"BAZÁN NARRO, SIGRID TESORO",Accesitario,JUNTOS POR EL PERÚ,,,,,,,VII Extraordin 27 enero 2022.xlsx
39,14459,TRABAJO,"BAZÁN NARRO, SIGRID TESORO",Accesitario,JUNTOS POR EL PERÚ,,,,,,,7ma Sesión Ord 9-11-21.xlsx
39,15190,TRABAJO,"BAZÁN NARRO, SIGRID TESORO",Accesitario,JUNTOS POR EL PERÚ,,,,,,,XI Sesión Extraord 3 MAYO 2022.xlsx
39,15220,TRABAJO,"BAZÁN NARRO, SIGRID TESORO",Accesitario,JUNTOS POR EL PERÚ,6ta Ord,2021-10-05 00:00:00,X,,,,6ta Sesión Ord 5-10-21.xlsx
17,15875,CESIP -OCDE,"BAZÁN NARRO, Sigrid Tesoro",Titular,Juntos por el Perú,14va. SO,07.06.2022,1,,,,14SO ASISTENCIA 07.06.2022.xlsx
39,16064,TRABAJO,"BAZÁN NARRO, SIGRID TESORO",Accesitario,JUNTOS POR EL PERÚ,5ta Ord,2021-09-28 00:00:00,X,,,,5ta Sesión Ord 28-09-21.xlsx
28,16086,VIVIENDA,"Bazán Narro, Sigrid Tesoro",Titular,Juntos por el Perú,,,1,,,,Sesión 08 (22-12).xlsx
17,221,JUSTICIA,BELLIDO UGARTE GUIDO,Titular,Perú Libre,,,1,,,,Formato Asistencia Cuarta Sesión Extraordinaria.xlsx
34,452,Economía,BELLIDO UGARTE GUIDO,Accesitario,Perú Libre,,,,,,,10 Asistencia Decima Sesión Extraordinaria Economia (3) (2).xlsx
34,550,Economia,BELLIDO UGARTE GUIDO,Accesitario,Perú Libre,,,,,,,25 Registro de Asistencia de la Vigésimo Quinta Sesión Ordinaria Comisión de Eonomía (2).xlsx
17,934,JUSTICIA,BELLIDO UGARTE GUIDO,Titular,Perú Libre,,,1,,,,Formato Asistencia Vigesimoprimera (Continuación) Sesión Ordinaria.xlsx
17,1303,JUSTICIA,BELLIDO UGARTE GUIDO,Titular,Perú Libre,,,1,,,,Formato Asistencia Octava Sesión Ordinaria Justicia.xlsx
34,1425,Economia,BELLIDO UGARTE GUIDO,Accesitario,Perú Libre,,,,,,,20 Registro de Asistencia de la la Vigésima Sesión Ordinaria Comisión de Eonomía (2).xlsx
17,1841,JUSTICIA,BELLIDO UGARTE GUIDO,Titular,Perú Libre,,,1,,,,Formato Asistencia Novena Sesión Ordinaria Justicia.xlsx
17,1988,JUSTICIA,BELLIDO UGARTE GUIDO,Titular,Perú Libre,,,1,,,,Formato Asistencia Séptima Sesión Ordinaria Justicia.xlsx
34,2500,Economía,BELLIDO UGARTE GUIDO,Accesitario,Perú Libre,,,,,,,07 7ma . Sesión Extraordinariadesentralizada (3).xlsx
17,2871,JUSTICIA,BELLIDO UGARTE GUIDO,Titular,Perú Libre,,,,,1,,Formato Asistencia Decimoctava Sesión Ordinaria.xlsx
16,2892,SEGURIDAD CIUDADANA,BELLIDO UGARTE GUIDO,Secretaria,PERÚ LIBRE,,,1,,,,REPORTE DE ASISTENCIAS SES. EXTRAORD. 1.xlsx
17,2943,JUSTICIA,BELLIDO UGARTE GUIDO,Titular,Perú Libre,,,,,1,,Formato Asistencia Vigesimotercera Sesión Ordinaria.xlsx
34,3518,Economia,BELLIDO UGARTE GUIDO,Accesitario,Perú Libre,,,,,,,11 11ava Sesión Extraordinaaria Comisión de Eonomía (2) (1).xlsx
34,3829,Economía,BELLIDO UGARTE GUIDO,Accesitario,Perú Libre,,,,,,,21 Registro de Asistencia de la Vigésimo Primera Sesión Ordinaria Comisión de Eonomía.xlsx
34,4359,2,BELLIDO UGARTE GUIDO,Accesitario,Perú Libre,,,,,,,08 8 ava. SESIÓN EXTRAORDINARIA 12.05.22 (1) (1).xlsx
17,4532,JUSTICIA,BELLIDO UGARTE GUIDO,Titular,Perú Libre,,,1,,,,Formato Asistencia Decimoseptima Sesión Ordinaria.xlsx
16,4809,SEGURIDAD CIUDADANA,BELLIDO UGARTE GUIDO,Secretaria,PERÚ LIBRE,,,1,,,,REPORTE DE ASISTENCIAS SO 1.xlsx
16,4902,SEGURIDAD CIUDADANA,BELLIDO UGARTE GUIDO,Secretaria,PERÚ LIBRE,,,1,,,,REPORTE DE ASISTENCIAS SES. EXTRAORD. 2.xlsx
34,5705,2,BELLIDO UGARTE GUIDO,Accesitario,Perú Libre,,,,,,,09 9 na. Sesión Extraordinaria Comisión de Eonomía.xlsx
17,6134,JUSTICIA,BELLIDO UGARTE GUIDO,Titular,Perú Libre,,,1,,,,Formato Asistencia Decimonovena Sesión Ordinaria.xlsx
17,6361,JUSTICIA,BELLIDO UGARTE GUIDO,Titular,Perú Libre,,,1,,,,Formato Asistencia Décima Sesión Ordinaria Justicia.xlsx
16,6682,SEGURIDAD CIUDADANA,BELLIDO UGARTE GUIDO,Secretaria,PERÚ LIBRE,,,1,,,,REPORTE DE ASISTENCIAS SO 7.xlsx
17,7007,JUSTICIA,BELLIDO UGARTE GUIDO,Titular,Perú Libre,,,1,,,,Formato Asistencia Duodécima Sesión Ordinaria.xlsx
17,7068,JUSTICIA,BELLIDO UGARTE GUIDO,Titular,Perú Libre,,,1,,,,Formato Asistencia Undécima Sesión Ordinaria Justicia.xlsx
34,7498,2,BELLIDO UGARTE GUIDO,Accesitario,Perú Libre,,,,,,,18 Registro de Asistencia la Décimo Octava Sesión Ordinaria Comisión de Eonomía (5) (1).xlsx
34,7549,Economia,BELLIDO UGARTE GUIDO,Accesitario,Perú Libre,,,,,,,24 Registro de Asistencia de la Vigésimo Cuarta Sesión Ordinaria Comisión de Eonomía (4).xlsx
16,7566,SEGURIDAD CIUDADANA,BELLIDO UGARTE GUIDO,Secretaria,PERÚ LIBRE,,,1,,,,REPORTE DE ASISTENCIAS SO 3.xlsx
17,7805,JUSTICIA,BELLIDO UGARTE GUIDO,Titular,Perú Libre,,,1,,,,Formato Asistencia Vigesimoprimera Sesión Ordinaria.xlsx
16,8174,SEGURIDAD CIUDADANA,BELLIDO UGARTE GUIDO,Secretaria,PERÚ LIBRE,,,,1,,,REPORTE DE ASISTENCIAS SO 9.xlsx
16,8248,SEGURIDAD CIUDADANA,BELLIDO UGARTE GUIDO,Secretaria,PERÚ LIBRE,,,1,,,,REPORTE DE ASISTENCIAS SES. DESC. 2.xlsx
16,8741,SEGURIDAD CIUDADANA,BELLIDO UGARTE GUIDO,Secretaria,PERÚ LIBRE,,,1,,,,REPORTE DE ASISTENCIAS SO 6.xlsx
16,9006,SEGURIDAD CIUDADANA,BELLIDO UGARTE GUIDO,Secretaria,PERÚ LIBRE,,,,1,,,REPORTE DE ASISTENCIAS SES. DESC. 3.xlsx
16,9831,SEGURIDAD CIUDADANA,BELLIDO UGARTE GUIDO,Secretaria,PERÚ LIBRE,,,1,,,,REPORTE DE ASISTENCIAS SO 5.xlsx
34,9900,2,BELLIDO UGARTE GUIDO,Accesitario,Perú Libre,,,,,,,19 Registro de Asistencia de la Décimo Novena Sesión Ordinaria Comisión de Eonomía (11).xlsx
17,9934,JUSTICIA,BELLIDO UGARTE GUIDO,Titular,Perú Libre,,,1,,,,Formato Asistencia Decimocuarta Sesión Ordinaria.xlsx
34,10200,Economia,BELLIDO UGARTE GUIDO,Accesitario,Perú Libre,,,,,,,23 Registro de Asistencia de la Vigésimo Tercera Sesión Ordinaria Comisión de Eonomía (1).xlsx
17,10850,JUSTICIA,BELLIDO UGARTE GUIDO,Titular,Perú Libre,,,1,,,,Formato Asistencia Decimotercera Sesión Ordinaria.xlsx
34,11641,Economía,BELLIDO UGARTE GUIDO,Accesitario,Perú Libre,,,,,,,22 Registro de Asistencia de la Vigésimo Segunda Sesión Ordinaria Comisión de Eonomía.xlsx
17,11789,JUSTICIA,BELLIDO UGARTE GUIDO,Titular,Perú Libre,,,,1,,,Formato Asistencia Vigésima Sesión Ordinaria.xlsx
16,12015,SEGURIDAD CIUDADANA,BELLIDO UGARTE GUIDO,Secretaria,PERÚ LIBRE,,,1,,,,REPORTE DE ASISTENCIAS SES. DESC. 1.xlsx
16,12585,SEGURIDAD CIUDADANA,BELLIDO UGARTE GUIDO,Secretaria,PERÚ LIBRE,,,1,,,,REPORTE DE ASISTENCIAS SES. DESC. 4.xlsx
17,12839,JUSTICIA,BELLIDO UGARTE GUIDO,Titular,Perú Libre,,,1,,,,Formato Asistencia Decimoquinta Sesión Ordinaria.xlsx
16,13221,SEGURIDAD CIUDADANA,BELLIDO UGARTE GUIDO,Secretaria,PERÚ LIBRE,,,,,,1,REPORTE DE ASISTENCIAS SO 2.xlsx
